220900 RIO GRANDE DO PIAUI;0;69.03;87.61;72.09;112.16;104;98.8;72.29;70;107.14;0
220910 SANTA CRUZ DO PIAUI;0;99.01;102.97;113.24;83.15;80.26;156.76;94.59;96.2;125.81;0
220915 SANTA CRUZ DOS MILAGRES;0;110.34;98.28;97.87;28.57;17.65;189.47;200;36.84;59.46;0
220920 SANTA FILOMENA;0;102.78;75.93;86.49;101.14;106.42;105.1;83.67;75.53;83.84;0
220930 SANTA LUZ;0;101.68;60.5;60.92;95.83;91.67;56.63;57.83;124.24;146.67;0
220935 SANTANA DO PIAUI;0;101.59;55.56;141.18;75.44;71.67;96.49;68.42;127.78;84.78;0
220937 SANTA ROSA DO PIAUI;0;84.62;73.08;71.01;72.88;105.36;50.88;94.74;120;70.42;0
220940 SANTO ANTONIO DE LISBOA;0;120.78;84.42;114.47;63.04;153.7;108.33;118.06;79.55;121.79;0
220945 SANTO ANTONIO DOS MILAGRES;0;68.29;102.44;90;58.82;165;2.78;61.11;78.12;59.26;0
220950 SANTO INACIO DO PIAUI;0;117.78;100;60.42;154.55;185.71;86;84;107.32;106.82;0
220955 SAO BRAZ DO PIAUI;0;96.05;90.79;83.61;54.72;108.51;108.33;45;67.61;101.85;0
220960 SAO FELIX DO PIAUI;0;148.15;133.33;175;156.25;67.86;177.78;144.44;136.36;75.86;0
220965 SAO FRANCISCO DE ASSIS DO PIAUI;0;74.31;68.81;123.53;47.37;62.26;22.73;104.55;92.5;135.38;0
220970 SAO FRANCISCO DO PIAUI;0;97.26;91.78;63.41;87.67;72.86;60;58.67;81.54;51.04;0
220975 SAO GONCALO DO GURGUEIA;0;75.56;106.67;97.5;67.86;109.09;120;116.67;118.52;95;0
220980 SAO GONCALO DO PIAUI;0;104.82;107.23;81.93;109.3;65.75;61.84;51.32;113.85;101.43;0
220985 SAO JOAO DA CANABRAVA;0;163.46;96.15;57.14;71.15;15.22;45.61;64.91;102.13;93.62;0
220987 SAO JOAO DA FRONTEIRA;0;109.59;83.56;144.16;47.13;7.58;0;100;91.67;114.08;0
220990 SAO JOAO DA SERRA;0;82.42;101.1;105.13;20.88;0;63.24;94.12;102.78;97.44;0
220995 SAO JOAO DA VARJOTA;0;113.92;77.22;88.61;111.27;98.51;90;95.71;101.75;74.68;0
220997 SAO JOAO DO ARRAIAL;0.7;121.68;98.6;103.5;96.24;114.17;95.83;96.53;141.59;91.33;0
221000 SAO JOAO DO PIAUI;0;110.84;98.92;79.65;104.01;89.52;122.22;95.62;91.16;84;0
221005 SAO JOSE DO DIVINO;0;106.67;104;112.12;84.88;121.67;114.93;97.01;93.33;138.18;0
221010 SAO JOSE DO PEIXE;0;118.18;94.55;70.77;95.65;74.51;126.83;139.02;64.29;55.93;0
221020 SAO JOSE DO PIAUI;0;114.81;83.33;84.95;97.5;106.17;82.11;75.79;94.67;118.84;0
221030 SAO JULIAO;0;118;94;81.65;34.25;75.56;59.7;98.51;57.53;92.19;0
221035 SAO LOURENCO DO PIAUI;0;137.74;64.15;118.87;79.41;87.27;70.91;92.73;96.49;67.21;0
221037 SAO LUIS DO PIAUI;0;3.03;118.18;97.06;87.1;90.91;104;92;85.29;85.71;0
221038 SAO MIGUEL DA BAIXA GRANDE;0;53.12;112.5;77.14;104.55;87.5;207.14;142.86;117.39;157.14;0
221039 SAO MIGUEL DO FIDALGO;0;76.19;95.24;79.41;78.12;150;96.15;107.69;120.69;125.71;0
221040 SAO MIGUEL DO TAPUIO;0;107.97;101.81;99.57;71.04;117.39;114.53;98.72;86.67;87.08;0
221050 SAO PEDRO DO PIAUI;0;86.5;114;93.78;63.08;92.74;119.05;111.11;91.09;86.09;0
221060 SAO RAIMUNDO NONATO;0;103.28;79.72;99.83;66.13;89.98;37.61;84.99;96.12;88.94;0
221062 SEBASTIAO BARROS;0;45.12;37.8;93.59;52.94;10.61;3.08;49.23;65.91;47.54;0
221063 SEBASTIAO LEAL;0;170.91;78.18;93.88;68.97;48.28;59.09;163.64;90.57;63.79;0
221065 SIGEFREDO PACHECO;0.93;117.76;87.85;91.57;66.35;64.13;70.09;104.67;88;65.42;0
221070 SIMOES;0;98.23;99.65;97.12;69.76;103.86;78.38;88.74;90.99;93.81;0
221080 SIMPLICIO MENDES;0;118.23;104.42;86.52;82.31;51.27;94.94;68.54;57.73;93.71;0
221090 SOCORRO DO PIAUI;0;78.69;80.33;114.81;58.62;39.29;31.71;34.15;104.35;87.5;0
221093 SUSSUAPARA;0;110.59;82.35;90.12;66.27;101.41;98.81;114.29;100;132.88;0
221095 TAMBORIL DO PIAUI;0;76.36;81.82;67.44;70.59;86.11;91.49;87.23;95.65;123.26;0
221097 TANQUE DO PIAUI;0;132.5;77.5;151.72;77.27;73.08;162.96;118.52;91.18;126.32;0
221100 TERESINA;0.39;113.24;98.99;95.28;91.57;83.82;78.18;70.25;75.25;76.98;0
221110 UNIAO;0;175.74;145.15;130.25;106.17;90.84;85.71;96.43;90.09;87.2;0
221120 URUCUI;0;105.99;93.55;112.12;100.51;120.54;101.33;104.26;86.43;100;0
221130 VALENCA DO PIAUI;0;116.03;110.1;87.76;95.6;123.74;73.96;87.15;79.45;139.02;0
221135 VARZEA BRANCA;0;101.39;129.17;74.71;85.53;141.27;102.78;102.78;111.54;50.72;0
221140 VARZEA GRANDE;0;125.93;116.67;85;91.53;89.8;85.71;154.76;101.92;96.77;0
221150 VERA MENDES;0;78.72;59.57;108.33;80.56;97.22;87.1;87.1;145.16;172.22;0
221160 VILA NOVA DO PIAUI;0;78.72;72.34;78.79;85;87.5;166.67;129.63;87.5;108.33;0
221170 WALL FERRAZ;0;94.37;70.42;68.85;82.61;42.86;100;94.74;114.71;144.12;0
